level	frequency	NoteID	VocabKanji	VocabPitch	VocabPoS	VocabFurigana	VocabDefID	VocabPlus	VocabAudio	SentType1	SentKanji1	SentFurigana1	SentDefID1	SentAudio1	SentType2	SentKanji2	SentFurigana2	SentDefID2	SentAudio2	SentType3	SentKanji3	SentFurigana3	SentDefID3	SentAudio3	SentType4	SentKanji4	SentFurigana4	SentDefID4	SentAudio4	Sort	Alt1	Alt2	Tags
N5	頻度未定 (Belum Ditentukan)	0b493e76-2ed7-11ef-a183-99ad05e145f0	あれ	⓪	代	あれ	(menunjuk sesuatu yang berjarak dari kedua pembicara) itu; (merujuk kejadian sebelumnya yang sama-sama diketahui) saat itu		[sound:あれ_アレ━_0_NHK-2016-260118.mp3]		あれは何ですか	<b>あれ</b>は 何[なん]ですか	Itu apa?	[sound:voicepeak-f159bf5ff3794f46-260118.mp3]		あれから十年経った	<b>あれ</b>から 十[じゅう] 年[ねん] 経[た]った	Sejak saat itu sudah berlalu sepuluh tahun	[sound:voicepeak-c880236d11764a10-260118.mp3]											1.008			
N5	頻度未定 (Belum Ditentukan)	0b694e64-2ed7-11ef-a183-99ad05e145f0	あれ	⓪	感	あれ	aduh, wah (menunjukkan keterkejutan atau keheranan)		[sound:あれ_アレ━_0_NHK-2016-260118.mp3]		あれ変だぞ	<b>あれ</b> 変[へん]だぞ	Aduh, aneh nih!	[sound:voicepeak-fad9c0a467b94622-260118.mp3]																1.0079			
N5	頻度未定 (Belum Ditentukan)	0b695d78-2ed7-11ef-a183-99ad05e145f0	あんな	⓪	連体・ナ形	あんな	seperti itu; jenis itu		[sound:あんな_アンナ━_0_NHK-2016-260118.mp3]		彼があんな人だとは思わなかった	彼[かれ]が<b>あんな</b> 人[ひと]だとは 思[おも]わなかった	Tidak menyangka dia orang seperti itu	[sound:voicepeak-0e18dd7c55954b86-260118.mp3]																1.01			
N5	頻度未定 (Belum Ditentukan)	0b4946fa-2ed7-11ef-a183-99ad05e145f0	いい	①	イ形・補形	いい	bagus, baik; boleh; cocok, cukup	Bentuk lisan/informal dari 「よい」	[sound:いい_イ＼ー_1_NHK-2016-260118.mp3]		いい天気	<b>いい</b> 天気[てんき]	Cuaca yang bagus	[sound:voicepeak-ffac8ce7e03043e5-260119.mp3]		彼女はいい友達です	彼女[かのじょ]は<b>いい</b> 友達[ともだち]です	Dia teman yang baik	[sound:voicepeak-463afc6cdef84666-260119.mp3]	対	悪い	悪[わる]い	buruk, jelek	[sound:悪い_ワル＼イ_2_NHK-2016-260118.mp3]						1.039			
N5	頻度未定 (Belum Ditentukan)	0b494f24-2ed7-11ef-a183-99ad05e145f0	いいえ	③	感	いいえ	tidak, bukan (menyatakan penyangkalan)		[sound:いいえ_イーエ＼_3_NHK-2016-260118.mp3]		お好きですか——いいえ、嫌いです	お 好[す]きですか——<b>いいえ</b>、 嫌[きら]いです	Apakah kamu suka? — Tidak, aku tidak suka	[sound:voicepeak-8ce97cc7e84f4a89-260119.mp3]	対	はい	はい	ya, betul (menyatakan persetujuan)	[sound:はい_ハ＼イ_1_NHK-2016-260118.mp3]											1.0382			
N5	頻度未定 (Belum Ditentukan)	0b696e58-2ed7-11ef-a183-99ad05e145f0	いかが	②	ナ形・副	いかが	bagaimana		[sound:いかが_イカ＼カ゚_2_NHK-2016-260118.mp3]		ご気分はいかがですか	ご 気分[きぶん]は<b>いかが</b>ですか	Bagaimana perasaan Anda?	[sound:voicepeak-24fa609bf5544f1f-260119.mp3]		デザートはいかがですか	デザートは<b>いかが</b>ですか	Bagaimana kalau makan pencuci mulut?	[sound:voicepeak-2270290c03bc4977-260119.mp3]											1.0389			
N5	頻度未定 (Belum Ditentukan)	0b497026-2ed7-11ef-a183-99ad05e145f0	いくつ	①	名	いくつ	berapa (jumlah/buah); berapa (umur/usia)	幾つ	[sound:いくつ_イ＼クツ_1_NHK-2016-260118.mp3]		いくつありますか	<b>いくつ</b>ありますか	Ada berapa banyak?	[sound:voicepeak-98c670ef23cd47b5-260118.mp3]		娘さんはいくつになりましたか	娘[むすめ]さんは<b>いくつ</b>になりましたか	Putrinya sekarang umur berapa?	[sound:voicepeak-7fbac2da87b846dd-260118.mp3]											1.0114			
N5	頻度未定 (Belum Ditentukan)	0b497896-2ed7-11ef-a183-99ad05e145f0	いくら	①⓪	名・副	いくら	(jumlah atau harga) berapa; sekalipun ... tetap ...		[sound:イクラ_イクラ━_0_NHK-2016-260118.mp3]		この靴はいくらですか	この 靴[くつ]は<b>いくら</b>ですか	Sepatu ini berapa harganya?	[sound:voicepeak-09272a81d1d341c8-260118.mp3]		いくら言っても聞かない	<b>いくら</b> 言[い]っても 聞[き]かない	Sekalipun dikatakan berkali-kali tetap tidak mendengarkan	[sound:voicepeak-6c92f818b7f140ea-260118.mp3]											1.0113			
N5	頻度未定 (Belum Ditentukan)	7a2b5e00-679e-11ef-89c9-3b0955f1365d	いちご	⓪	名	いちご	stroberi	苺	[sound:いちご_イチコ゚━_0_NHK-2016-260118.mp3]		このいちごはとても甘い	この<b>いちご</b>はとても 甘[あま]い	Stroberi ini sangat manis	[sound:voicepeak-2b6ec0f71b644677-260119.mp3]		いちごジャム	<b>いちご</b>ジャム	Selai stroberi	[sound:voicepeak-33ae00d1e3644602-260119.mp3]											1.0412			
N5	頻度未定 (Belum Ditentukan)	0b498214-2ed7-11ef-a183-99ad05e145f0	いつ	①	代	いつ	kapan	何時	[sound:いつ_イ＼ツ_1_NHK-2016-260118.mp3]		彼女はいつ来ますか	彼女[かのじょ]は<b>いつ</b> 来[き]ますか	Kapan dia akan datang?	[sound:voicepeak-f494f567892b4e54-260118.mp3]																1.0112			
N5	頻度未定 (Belum Ditentukan)	0b8e330a-2ed7-11ef-a183-99ad05e145f0	いつか	①	副	いつか	(merujuk masa depan) suatu hari nanti, cepat atau lambat; (merujuk masa lalu) pernah; tanpa disadari	何時か	[sound:いつか_イ＼ツカ_1_NHK-2016-260118.mp3]		僕はいつかアフリカに行きたい	僕[ぼく]は<b>いつか</b>アフリカに 行[い]きたい	Aku ingin pergi ke Afrika suatu hari nanti	[sound:voicepeak-f2dc0856137c46ec-260118.mp3]		この本はいつか読んだことがある	この 本[ほん]は<b>いつか</b> 読[よ]んだことがある	Aku pernah membaca buku ini sebelumnya	[sound:voicepeak-5f2dd2f3257b4ecd-260118.mp3]		本を読んでいるうちに、いつか眠りに落ちていた	本[ほん]を 読[よ]んでいるうちに、<b>いつか</b> 眠[ねむ]りに 落[お]ちていた	Sambil membaca buku, tanpa sadar aku tertidur	[sound:voicepeak-16e2b1f7db4d4be5-260118.mp3]						1.0236			
N5	頻度未定 (Belum Ditentukan)	0b699022-2ed7-11ef-a183-99ad05e145f0	いつでも	①	副	いつでも	kapan saja, selalu		[sound:いつでも_イ＼ツデモ_1_NHK-2016-260118.mp3]		いつでも音楽が楽しめる	<b>いつでも</b> 音楽[おんがく]が 楽[たの]しめる	Bisa menikmati musik kapan saja	[sound:voicepeak-e180c8006da84c53-260118.mp3]																1.0237			
N5	頻度未定 (Belum Ditentukan)	0b498a3e-2ed7-11ef-a183-99ad05e145f0	いっぱい	⓪①	ナ形・副・名	いっぱい	(pitch ⓪) penuh, banyak; (pitch ①) satu gelas/cangkir/mangkuk	一杯	[sound:いっぱい_イッパイ━_0_NHK-2016-260118.mp3]		プールは人でいっぱいです	プールは 人[ひと]で<b>いっぱい</b>です	Kolam renang penuh sesak dengan orang	[sound:voicepeak-28-プールは人でいっぱいです-260119.mp3]		コップ一杯の水	コップ <b>一[いっ] 杯[ぱい]</b>の 水[みず]	Segelas air	[sound:voicepeak-29-コップ一杯の水-260119.mp3]											1.0383			
N5	頻度未定 (Belum Ditentukan)	0b4992e0-2ed7-11ef-a183-99ad05e145f0	いつも	①	名・副	いつも	sering, selalu; biasanya		[sound:いつも_イ＼ツモ_1_NHK-2016-260118.mp3]		彼女はいつも元気だ	彼女[かのじょ]は<b>いつも</b> 元気[げんき]だ	Dia selalu bersemangat	[sound:voicepeak-be430e4ade1f4a80-260119.mp3]		いつもとは違って	<b>いつも</b>とは 違[ちが]って	Berbeda dari biasanya	[sound:voicepeak-fd4b3ea94a864ecc-260119.mp3]											1.0329			
N5	頻度未定 (Belum Ditentukan)	7ae438ee-679e-11ef-89c9-3b0955f1365d	いらっしゃいませ	⑥	感	いらっしゃいませ	selamat datang		[sound:voicepeak-0-いらっしゃいませ-260118.mp3]		いらっしゃいませ。どうぞ中へ	<b>いらっしゃいませ</b>。どうぞ 中[なか]へ	Selamat datang. Silakan masuk	[sound:voicepeak-c13fc1e95b3c45fc-260118.mp3]																1.0072			
N5	頻度未定 (Belum Ditentukan)	0b69a102-2ed7-11ef-a183-99ad05e145f0	いらっしゃる	④	自動1・補動	いらっしゃる	datang; pergi; berada	Bentuk hormat (keigo) dari 「居る」「来る」「行く」	[sound:いらっしゃる_イラッシャ＼ル_4_NHK-2016-260118.mp3]		お客様がいらっしゃいました	お 客様[きゃくさま]が<b>いらっしゃい</b>ました	Ada tamu yang datang	[sound:voicepeak-2d2ebcb65b244ab4-260119.mp3]																1.0388			
N5	頻度未定 (Belum Ditentukan)	0b49a384-2ed7-11ef-a183-99ad05e145f0	いる	⓪	自動2	いる	(untuk makhluk hidup) ada, berada	居る	[sound:いる_イル━_0_NHK-2016-260118.mp3]		今日は一日中家にいました	今日[きょう]は 一日中[いちにちじゅう] 家[いえ]に<b>い</b>ました	Hari ini seharian ada di rumah	[sound:voicepeak-4d8d58e971f4473c-260118.mp3]		屋根にネコがいる	屋根[やね]にネコが<b>いる</b>	Ada kucing di atap	[sound:voicepeak-a101239e72a545d3-260118.mp3]											1.0267			
N5	頻度未定 (Belum Ditentukan)	0b49ae42-2ed7-11ef-a183-99ad05e145f0	いろいろ	⓪	ナ形・副・名	いろいろ	bermacam-macam, beraneka ragam	色々	[sound:いろいろ_イロイロ━_0_NHK-2016-260118.mp3]		彼はいろいろなことを知っている	彼[かれ]は<b>いろいろ</b>なことを 知[し]っている	Dia tahu banyak hal	[sound:voicepeak-c3851cb786cc4cf2-260119.mp3]																1.0386			
N5	頻度未定 (Belum Ditentukan)	0b49c7ba-2ed7-11ef-a183-99ad05e145f0	ううん		感	ううん	tidak, bukan	Bentuk kasual/informal dari 「いいえ・いえ」	[sound:voicepeak-0-ううん-260119.mp3]		ううん、まだ来ていないよ	<b>ううん</b>、まだ 来[き]ていないよ	Tidak, belum datang kok	[sound:voicepeak-0-ううん、まだ来ていないよ-260119.mp3]																1.0405			
N5	頻度未定 (Belum Ditentukan)	0b538502-2ed7-11ef-a183-99ad05e145f0	うち	⓪②	名	うち	rumah, keluarga, rumah sendiri (keluarga sendiri)	家	[sound:うち_ウチ━_0_NHK-2016-260118.mp3]		うちへ帰る	<b>うち</b>へ 帰[かえ]る	Pulang ke rumah	[sound:voicepeak-73418e0a01464cbe-260119.mp3]		うちの父は公務員です	<b>うち</b>の 父[ちち]は 公務員[こうむいん]です	Ayahku adalah pegawai negeri	[sound:voicepeak-0148cbc1045c4516-260119.mp3]											1.0454			
N5	頻度未定 (Belum Ditentukan)	0b49d85e-2ed7-11ef-a183-99ad05e145f0	うるさい	③	イ形	うるさい	berisik, mengganggu; cerewet, banyak omong		[sound:うるさい_ウルサ＼イ_3_NHK-2016-260118.mp3]		この通りは車の音がうるさい	この 通[とお]りは 車[くるま]の 音[おと]が<b>うるさい</b>	Jalan ini berisik karena suara mobil	[sound:voicepeak-b18ba05cfb8b4838-260119.mp3]		うるさいおやじ	<b>うるさい</b>おやじ	Ayah yang cerewet	[sound:voicepeak-09141a8214e04183-260119.mp3]											1.0407			
N5	頻度未定 (Belum Ditentukan)	0b762972-2ed7-11ef-a183-99ad05e145f0	うれしい	③	イ形	うれしい	senang, gembira	嬉しい	[sound:うれしい_ウレシ＼イ_3_NHK-2016-260118.mp3]		彼に会えてうれしかった	彼[かれ]に 会[あ]えて<b>うれしかった</b>	Senang bisa bertemu dengannya	[sound:voicepeak-700d63c21c424430-260119.mp3]	対	悲しい	悲[かな]しい	sedih, murung	[sound:悲しい_カナシイ━_0_NHK-2016-260118.mp3]											1.0316			
N5	頻度未定 (Belum Ditentukan)	0b49e0d8-2ed7-11ef-a183-99ad05e145f0	うん	①	感	うん	iya, ya	Cara bicara yang lebih kasual/akrab dibanding 「はい」; tidak sopan dipakai ke orang yang dihormati atau tamu	[sound:うん_ウ＼ン_1_NHK-2016-260118.mp3]		うん、わかった	<b>うん</b>、わかった	Iya, mengerti	[sound:voicepeak-d670492dbddb4629-260118.mp3]																1.0059			
N5	頻度未定 (Belum Ditentukan)	0b49e92a-2ed7-11ef-a183-99ad05e145f0	エアコン	⓪	名	air conditioner	AC (pendingin ruangan)	Singkatan dari 「エアコンディショナー」(air conditioner)	[sound:エアコン_エアコン━_0_NHK-2016-260118.mp3]		部屋にエアコンを取り付けたんだ	部屋[へや]に<b>エアコン</b>を 取[と]り 付[つ]けたんだ	Aku memasang AC di kamar	[sound:voicepeak-350daf9852c5481f-260118.mp3]																1.0261			
N5	頻度未定 (Belum Ditentukan)	0b49f136-2ed7-11ef-a183-99ad05e145f0	ええ	①	感	ええ	(menyatakan persetujuan) iya, ya; (menyatakan keheranan/pertanyaan) hah?; (menyatakan keraguan) hmm		[sound:ええ_エ＼エ_1_Shinmeikai-8-260118.mp3]		ええ、いいですよ	<b>ええ</b>、いいですよ	Ya, boleh kok	[sound:voicepeak-01-ええ、いいですよ-260118.mp3]		ええ、そんなことがあったんですか	<b>ええ</b>、そんなことがあったんですか	Hah, ada kejadian seperti itu?	[sound:voicepeak-b46eddb24a0843ac-260118.mp3]		ええ、実はお金を持っていないんです	<b>ええ</b>、 実[じつ]はお 金[かね]を 持[も]っていないんです	Hmm... sebenarnya aku tidak punya uang	[sound:voicepeak-a0d4308c3e9e4c6b-260118.mp3]						1.006			
N5	頻度未定 (Belum Ditentukan)	0b69dcf8-2ed7-11ef-a183-99ad05e145f0	えっ	①	感	えっ	eh, hah (saat terkejut atau merasa aneh)		[sound:voicepeak-0-えっ-260119.mp3]		えっ、そうなの	<b>えっ</b>、そうなの	Eh, begitu ya?	[sound:voicepeak-c40f49f9003d44b7-260119.mp3]																1.0391			
N5	頻度未定 (Belum Ditentukan)	0b8eb956-2ed7-11ef-a183-99ad05e145f0	エレベーター	③	名	elevator	lift, elevator		[sound:エレベーター_エレベ＼ーター_3_NHK-2016-260118.mp3]		エレベーターで下に降りましょう	<b>エレベーター</b>で 下[した]に 降[お]りましょう	Ayo turun pakai lift	[sound:voicepeak-08-エレベーターで下に降りましょう-260119.mp3]																1.0375			
N5	頻度未定 (Belum Ditentukan)	0b49f960-2ed7-11ef-a183-99ad05e145f0	おいしい	⓪③	イ形	おいしい	enak, lezat	美味しい	[sound:おいしい_オイシイ━_0_NHK-2016-260118.mp3]		このケーキはおいしいね	このケーキは<b>おいしい</b>ね	Kue ini enak ya	[sound:voicepeak-c1ba146e2fee4234-260119.mp3]	対	まずい	まずい	tidak enak, hambar	[sound:まずい_マズ＼イ_2_NHK-2016-260118.mp3]											1.0319			
N5	頻度未定 (Belum Ditentukan)	0b4a09e6-2ed7-11ef-a183-99ad05e145f0	おじ	⓪	名	おじ	paman (kakak laki-laki dari orang tua; adik laki-laki dari orang tua)	伯父・叔父	[sound:おじ_オジ━_0_NHK-2016-260118.mp3]		おじは銀行につとめています	<b>おじ</b>は 銀行[ぎんこう]につとめています	Paman bekerja di bank	[sound:voicepeak-2f8eec99242d47a3-260118.mp3]	対	おば	おば	bibi (kakak perempuan dari orang tua; adik perempuan dari orang tua)	[sound:おば_オバ━_0_NHK-2016-260118.mp3]											1.0151			
N5	頻度未定 (Belum Ditentukan)	0b4a11fc-2ed7-11ef-a183-99ad05e145f0	おじいさん	②	名	おじいさん	kakek (dari pihak ayah/ibu); sebutan akrab untuk pria lanjut usia	お祖父さん・お爺さん	[sound:おじいさん_オジ＼ーサン_2_NHK-2016-260118.mp3]		おじいさんは元気ですか？	<b>おじいさん</b>は 元気[げんき]ですか？	Apa kabar, Kakek?	[sound:voicepeak-2676ef8981f84780-260118.mp3]	対	おばあさん	おばあさん	nenek; sebutan akrab untuk wanita lanjut usia	[sound:おばあさん_オバ＼ーサン_2_NHK-2016-260118.mp3]											1.0155			
N5	頻度未定 (Belum Ditentukan)	0b4a1cec-2ed7-11ef-a183-99ad05e145f0	おじさん	⓪	名	おじさん	paman, om; sebutan untuk pria dewasa lain (bukan kerabat)	伯父さん・叔父さん	[sound:おじさん_オジサン━_0_NHK-2016-260118.mp3]		昨日おじさんに会いました	昨日[きのう]<b>おじさん</b>に 会[あ]いました	Kemarin aku bertemu paman	[sound:voicepeak-5c5552fc7c7c4cd9-260118.mp3]	対	おばさん	おばさん	bibi, tante; sebutan untuk wanita dewasa lain (bukan kerabat)	[sound:おばさん_オバサン━_0_NHK-2016-260118.mp3]											1.0152			
